Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;
I;70101; Innsbruck             ;454.440;485.436;488.649;488.026;503.198;519.628;508.514;525.369;584.257;533.182;569.507;581.081;631.423;633.126;634.591;667.645;703.027;714.566;737.644;781.571;591.010;82.662;416.075;751.321;;;;;
IM;70201; Arzl im Pitztal       ;64.265;65.456;66.883;68.566;66.460;65.778;61.811;60.379;64.720;65.929;63.736;59.891;57.369;56.672;55.441;56.322;44.337;51.541;58.347;57.125;48.123;2.527;43.862;57.561;;;;;
IM;70202; Haiming               ;33.794;31.345;41.388;37.792;43.472;41.565;38.725;34.509;40.540;39.478;41.151;37.276;41.131;56.697;59.792;62.490;63.236;66.098;78.794;75.370;61.616;2.349;53.306;66.827;;;;;
IM;70203; Imst                  ;68.501;78.619;76.394;79.928;85.455;83.398;96.028;87.531;104.521;96.255;86.502;90.295;89.639;94.607;88.893;87.118;83.214;84.405;87.831;96.888;80.854;4.650;54.387;69.840;;;;;
IM;70204; Imsterberg            ;3.973;5.733;4.235;4.851;5.311;4.375;4.621;4.000;2.751;3.114;2.987;3.436;3.989;4.413;3.741;4.116;3.457;4.368;4.685;5.701;5.040;1.186;4.419;5.730;;;;;
IM;70205; Jerzens               ;137.710;151.639;151.050;170.391;171.828;165.762;153.124;159.216;160.273;159.749;153.680;149.548;150.414;153.962;145.673;149.557;147.119;143.802;148.990;137.466;111.787;1.089;106.653;134.701;;;;;
IM;70206; Karres                ;758;990;1.134;2.319;1.432;1.482;1.539;1.274;1.484;1.483;1.366;1.757;2.144;2.242;2.051;1.924;2.559;2.343;2.412;2.156;1.966;943;1.352;2.492;;;;;
IM;70207; Karrösten             ;7.324;9.126;8.523;10.330;7.875;8.857;10.567;11.015;11.406;10.619;10.005;11.803;14.724;15.558;15.246;15.587;13.936;15.491;15.736;16.238;13.971;3.425;13.466;18.893;;;;;
IM;70208; Längenfeld            ;257.382;301.368;308.852;327.750;335.179;349.640;354.729;356.414;395.528;396.209;387.066;373.929;384.705;396.653;398.502;427.154;426.802;428.142;415.773;422.621;341.900;1.881;317.056;421.281;;;;;
IM;70209; Mieming               ;43.370;46.975;45.591;39.641;43.770;47.424;51.618;51.738;50.249;48.487;48.490;51.299;60.582;58.616;57.124;63.715;63.056;63.588;63.615;73.107;55.649;3.727;60.094;69.838;;;;;
IM;70210; Mils bei Imst         ;122;247;229;1.749;2.308;2.469;2.644;2.722;3.021;2.576;2.275;2.332;2.555;2.132;2.241;2.358;2.528;2.547;2.527;2.288;1.825;370;1.676;2.365;;;;;
IM;70211; Mötz                  ;461;681;462;543;224;407;244;381;139;267;86;128;454;710;314;425;639;711;248;237;309;14;397;322;;;;;
IM;70212; Nassereith            ;28.019;23.173;25.228;24.293;15.588;13.309;11.478;11.132;11.923;11.861;11.100;11.242;12.248;12.895;11.731;12.328;13.416;13.088;16.013;16.777;13.536;173;11.596;16.410;;;;;
